사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
2.02101E+15,2021년 1월 8일 16시,금요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,여,28세,상해없음,보행자,여,81세,중상,37.5781166,127.0342898
2.02101E+15,2021년 1월 11일 06시,월요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,38세,상해없음,보행자,남,79세,중상,37.5727559,127.0381626
2.02101E+15,2021년 1월 20일 12시,수요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,자전거,남,20세,상해없음,보행자,여,82세,경상,37.5740979,127.0349383
2.02101E+15,2021년 1월 30일 06시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,남,74세,중상,37.5772944,127.0450154
2.02102E+15,2021년 2월 8일 10시,월요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,51세,상해없음,보행자,남,83세,중상,37.5768814,127.035117
2.02102E+15,2021년 2월 10일 15시,수요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,이륜,여,62세,상해없음,보행자,남,80세,경상,37.578587,127.0404177
2.02102E+15,2021년 2월 18일 10시,목요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,53세,상해없음,보행자,여,72세,중상,37.5760698,127.0382122
2.02103E+15,2021년 3월 6일 13시,토요일,서울특별시 동대문구 휘경동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,55세,상해없음,보행자,남,79세,경상,37.5906536,127.0636151
2.02103E+15,2021년 3월 17일 12시,수요일,서울특별시 동대문구 이문동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,71세,경상,37.6032819,127.0673652
2.02103E+15,2021년 3월 20일 07시,토요일,서울특별시 동대문구 청량리동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로부근,승합,남,42세,상해없음,보행자,여,83세,사망,37.580173,127.0448856
