사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
2.02103E+15,2021년 3월 22일 15시,월요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 기타,맑음,교차로 - 교차로횡단보도내,화물,남,65세,상해없음,보행자,남,73세,경상,37.5786576,127.0684458
2.02105E+15,2021년 5월 3일 05시,월요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,64세,상해없음,보행자,여,79세,중상,37.5797391,127.0383225
2.02105E+15,2021년 5월 20일 07시,목요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,여,41세,상해없음,보행자,남,69세,중상,37.5807618,127.0513158
2.02105E+15,2021년 5월 22일 14시,토요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,85세,중상,37.5726658,127.0685775
2.02105E+15,2021년 5월 30일 05시,일요일,서울특별시 동대문구 장안동,사망사고,1,0,0,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,68세,상해없음,보행자,남,81세,사망,37.5769167,127.0764723
2.02107E+15,2021년 7월 6일 17시,화요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,보행자,여,82세,중상,37.579695,127.0746118
2.02107E+15,2021년 7월 17일 08시,토요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,여,74세,경상,37.5759529,127.0383544
2.02107E+15,2021년 7월 25일 18시,일요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,21세,상해없음,보행자,남,66세,경상,37.577619,127.0680746
2.02108E+15,2021년 8월 5일 10시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,25세,기타불명,보행자,여,72세,중상,37.5704113,127.0504173
2.02108E+15,2021년 8월 5일 12시,목요일,서울특별시 동대문구 제기동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,흐림,교차로 - 교차로횡단보도내,화물,남,39세,상해없음,보행자,여,78세,사망,37.5866009,127.0386756
2.02108E+15,2021년 8월 21일 14시,토요일,서울특별시 동대문구 이문동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,단일로 - 기타,승용,남,64세,상해없음,보행자,남,92세,사망,37.6013332,127.0676072
2.02109E+15,2021년 9월 2일 20시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,여,68세,상해없음,보행자,남,65세,중상,37.5707815,127.0558699
2.02109E+15,2021년 9월 7일 19시,화요일,서울특별시 동대문구 휘경동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,23세,상해없음,보행자,남,82세,사망,37.593904,127.0678426
2.02109E+15,2021년 9월 14일 21시,화요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,상해없음,보행자,여,79세,경상,37.5786547,127.0686338
2.02109E+15,2021년 9월 17일 10시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,여,70세,경상,37.586034,127.0383681
2.02109E+15,2021년 9월 25일 07시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,화물,남,69세,상해없음,보행자,여,80세,중상,37.5724974,127.0377496
2.0211E+15,2021년 10월 22일 12시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,53세,상해없음,보행자,남,71세,경상,37.5829992,127.040711
2.0211E+15,2021년 10월 30일 11시,토요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,65세,상해없음,보행자,여,78세,중상,37.5797752,127.0751684
2.02112E+15,2021년 12월 3일 13시,금요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,31세,상해없음,보행자,여,80세,경상,37.5729292,127.0590185
2.02112E+15,2021년 12월 10일 16시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,54세,상해없음,보행자,남,65세,경상,37.5830433,127.0417028
2.02112E+15,2021년 12월 11일 05시,토요일,서울특별시 동대문구 이문동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,보행자,남,81세,중상,37.5913836,127.0561069
