gid,lbl,val,lon,lat
?¤ì‚¬609556,"47.00",47.0000000000000000000000000000000,127.0576221619,37.5994352093
?¤ì‚¬624528,"171.00",171.0000000000000000000000000000000,127.0747580676,37.5742604799
?¤ì‚¬625528,"183.00",183.0000000000000000000000000000000,127.0758905077,37.5742645538
?¤ì‚¬616520,"57.00",57.0000000000000000000000000000000,127.0657404235,37.5670168587
?¤ì‚¬615519,"115.00",115.0000000000000000000000000000000,127.0646133408,37.5661113577
?¤ì‚¬612519,"30.00",30.0000000000000000000000000000000,127.0612163967,37.5660987813
?¤ì‚¬613561,"32.00",32.0000000000000000000000000000000,127.0621270262,37.6039587302
?¤ì‚¬587531,"67.00",67.0000000000000000000000000000000,127.0328410592,37.5768060857
?¤ì‚¬609543,"93.00",93.0000000000000000000000000000000,127.0576915180,37.5877179788
?¤ì‚¬617542,"50.00",50.0000000000000000000000000000000,127.0667578796,37.5868502579
?¤ì‚¬601540,"132.00",132.0000000000000000000000000000000,127.0486467231,37.5849797004
?¤ì‚¬616540,"38.00",38.0000000000000000000000000000000,127.0656357253,37.5850434402
?¤ì‚¬604521,"33.00",33.0000000000000000000000000000000,127.0521470968,37.5678674241
?¤ì‚¬606546,"42.00",42.0000000000000000000000000000000,127.0542774708,37.5904091741
?¤ì‚¬600540,"116.00",116.0000000000000000000000000000000,127.0475141249,37.5849753642
?¤ì‚¬594529,"58.00",58.0000000000000000000000000000000,127.0407794399,37.5750345390
?¤ì‚¬609519,"81.00",81.0000000000000000000000000000000,127.0578194547,37.5660861072
?¤ì‚¬617518,"10.00",9.9999999999999982236431605997495,127.0668831900,37.5652183569
?¤ì‚¬592538,"9.00",9.0000000000000000000000000000000,127.0384644773,37.5831376340
?¤ì‚¬615550,"79.00",79.0000000000000000000000000000000,127.0644506027,37.5940525355
?¤ì‚¬584528,"47.00",47.0000000000000000000000000000000,127.0294606589,37.5740886179
?¤ì‚¬616517,"19.00",19.0000000000000000000000000000000,127.0657561202,37.5643128667
?¤ì‚¬586528,"29.00",29.0000000000000000000000000000000,127.0317255201,37.5740976238
?¤ì‚¬608553,"35.00",35.0000000000000000000000000000000,127.0565053930,37.5967269840
?¤ì‚¬606519,"34.00",34.0000000000000000000000000000000,127.0544225148,37.5660733353
?¤ì‚¬597543,"110.00",110.0000000000000000000000000000000,127.0440998405,37.5876662648
?¤ì‚¬595541,"112.00",112.0000000000000142108547152020037,127.0418456132,37.5858548446
?¤ì‚¬587541,"27.00",27.0000000000000000000000000000000,127.0327847369,37.5858193276
?¤ì‚¬620539,"62.00",62.0000000000000000000000000000000,127.0701713173,37.5841586962
?¤ì‚¬600537,N/A,0.0000000000000000000000000000000,127.0475304909,37.5822713871
?¤ì‚¬604528,"9.00",9.0000000000000000000000000000000,127.0521093152,37.5741767214
?¤ì‚¬610523,"168.00",168.0000000000000000000000000000000,127.0589305098,37.5696956608
?¤ì‚¬611549,"116.00",116.0000000000000000000000000000000,127.0599249593,37.5931344027
?¤ì‚¬593539,"76.00",76.0000000000000000000000000000000,127.0395914953,37.5840433816
?¤ì‚¬604524,"59.00",59.0000000000000000000000000000000,127.0521309061,37.5705714095
?¤ì‚¬608551,"11.00",11.0000000000000000000000000000000,127.0565160917,37.5949243341
?¤ì‚¬619521,"7.00",7.0000000000000008881784197001252,127.0691322196,37.5679306360
?¤ì‚¬615523,"29.00",29.0000000000000000000000000000000,127.0645923550,37.5697166785
?¤ì‚¬599531,"79.00",79.0000000000000000000000000000000,127.0464307414,37.5768590833
?¤ì‚¬617517,"21.00",21.0000000000000000000000000000000,127.0668884084,37.5643170260
?¤ì‚¬602537,"23.00",23.0000000000000000000000000000000,127.0497956057,37.5822800479
?¤ì‚¬618517,"67.00",67.0000000000000000000000000000000,127.0680206967,37.5643211744
?¤ì‚¬605540,"103.00",103.0000000000000000000000000000000,127.0531771184,37.5849969368
?¤ì‚¬622531,"53.00",53.0000000000000000000000000000000,127.0724777295,37.5769562894
?¤ì‚¬618554,"18.00",18.0000000000000000000000000000000,127.0678279677,37.5976703319
?¤ì‚¬612542,"72.00",72.0000000000000000000000000000000,127.0610947353,37.5868293360
?¤ì‚¬620534,"61.00",61.0000000000000000000000000000000,127.0701972264,37.5796520527
?¤ì‚¬601542,"43.00",43.0000000000000000000000000000000,127.0486358385,37.5867823514
?¤ì‚¬612516,"19.00",19.0000000000000000000000000000000,127.0612322564,37.5633947906
?¤ì‚¬607535,"44.00",44.0000000000000000000000000000000,127.0554691152,37.5804988557
?¤ì‚¬604532,"44.00",44.0000000000000000000000000000000,127.0520877204,37.5777820312
?¤ì‚¬585533,"67.00",67.0000000000000000000000000000000,127.0305647986,37.5785997496
?¤ì‚¬605548,"20.00",19.9999999999999964472863211994991,127.0531340111,37.5922075418
?¤ì‚¬616559,"144.00",144.0000000000000000000000000000000,127.0655361754,37.6021686412
?¤ì‚¬591529,"27.00",27.0000000000000000000000000000000,127.0373821016,37.5750212742
?¤ì‚¬610515,N/A,0.0000000000000000000000000000000,127.0589730234,37.5624850225
?¤ì‚¬596543,"51.00",51.0000000000000000000000000000000,127.0429672022,37.5876618846
?¤ì‚¬581525,"9.00",9.0000000000000000000000000000000,127.0260805043,37.5713710537
?¤ì‚¬599540,"35.00",35.0000000000000000000000000000000,127.0463815269,37.5849710170
?¤ì‚¬611551,"53.00",53.0000000000000000000000000000000,127.0599143436,37.5949370540
?¤ì‚¬608547,"9.00",9.0000000000000000000000000000000,127.0565374862,37.5913190327
