사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010800100161,2021년 1월 8일 13시,금요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,보행자,여,82세,중상
2021010800100203,2021년 1월 8일 14시,금요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,27세,상해없음,보행자,여,77세,경상
2021010800100274,2021년 1월 8일 16시,금요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,여,28세,상해없음,보행자,여,81세,중상
2021011100100011,2021년 1월 11일 06시,월요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,38세,상해없음,보행자,남,79세,중상
2021011800100229,2021년 1월 18일 16시,월요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,42세,상해없음,보행자,여,81세,경상
2021012000100225,2021년 1월 20일 12시,수요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 터널,자전거,남,20세,상해없음,보행자,여,82세,경상
2021013000100036,2021년 1월 30일 06시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,남,74세,중상
2021020500100531,2021년 2월 5일 20시,금요일,서울특별시 동대문구 전농동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,62세,상해없음,보행자,여,65세,경상
2021020800100142,2021년 2월 8일 10시,월요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,화물,남,51세,상해없음,보행자,남,83세,중상
2021021000100335,2021년 2월 10일 15시,수요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,기타 - 기타,이륜,여,62세,상해없음,보행자,남,80세,경상
2021021800100108,2021년 2월 18일 10시,목요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,53세,상해없음,보행자,여,72세,중상
2021022000100307,2021년 2월 20일 16시,토요일,서울특별시 동대문구 신설동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,68세,경상
2021022500100297,2021년 2월 25일 17시,목요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,55세,상해없음,보행자,여,68세,중상
2021030600100188,2021년 3월 6일 13시,토요일,서울특별시 동대문구 휘경동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,55세,상해없음,보행자,남,79세,경상
2021030800100387,2021년 3월 8일 17시,월요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,보행자,여,81세,중상
2021030900100027,2021년 3월 9일 06시,화요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,64세,상해없음,보행자,남,65세,경상
2021031000100128,2021년 3월 10일 10시,수요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,47세,상해없음,보행자,남,75세,중상
2021031000100348,2021년 3월 10일 16시,수요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,농기계,남,58세,상해없음,보행자,여,74세,중상
2021031700100186,2021년 3월 17일 12시,수요일,서울특별시 동대문구 이문동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,71세,경상
2021032000100052,2021년 3월 20일 07시,토요일,서울특별시 동대문구 청량리동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,흐림,교차로 - 교차로부근,승합,남,42세,상해없음,보행자,여,83세,사망
